case_id,dsc_NCR/NET,dsc_Edema,dsc_Enhancing Tumor,mean_dsc
,0.008490040898323059,0.49416807293891907,0.47627684473991394,0.326311652859052
,nan,0.9594365358352661,0.002905569039285183,0.48117105243727565
,0.23372973501682281,0.46123164892196655,0.7670701146125793,0.48734383285045624
,0.0,0.6699414849281311,0.8420939445495605,0.5040118098258972
,0.7663962841033936,0.2904902398586273,nan,0.5284432619810104
,nan,0.892684817314148,0.32077184319496155,0.6067283302545547
,0.0,0.9795011281967163,0.9320799112319946,0.6371936798095703
,0.18817204236984253,0.922199547290802,0.8079463839530945,0.639439324537913
,0.0625,0.9315502047538757,0.9267448782920837,0.6402650276819865
,0.042553190141916275,0.937313437461853,0.964038074016571,0.6479682338734468
,0.7075559496879578,0.6622083187103271,0.591009259223938,0.6535911758740743
,0.09422850608825684,0.9049229621887207,0.9748209714889526,0.6579908132553101
,0.22057613730430603,0.9467104077339172,0.8475537896156311,0.6716134448846182
,0.3279742896556854,0.7795510292053223,0.907579779624939,0.6717016994953156
,0.7483236193656921,0.632652223110199,nan,0.6904879212379456
,0.5103342533111572,0.7898247838020325,0.7817023992538452,0.693953812122345
,0.5567435622215271,0.7577519416809082,0.7716615796089172,0.6953856945037842
,0.9266291856765747,0.6738907098770142,0.5096067190170288,0.7033755381902059
,0.7865177989006042,0.5062043070793152,0.8184319734573364,0.7037180264790853
,0.8748869299888611,0.5574938058853149,0.6844017505645752,0.7055941621462504
,0.7425183653831482,0.6726364493370056,nan,0.7075774073600769
,nan,0.5229050517082214,0.89412921667099,0.7085171341896057
,0.31415241956710815,0.945922315120697,0.8833308815956116,0.7144685387611389
,0.7569394111633301,0.789799153804779,0.6120959520339966,0.7196115056673685
,0.5602000951766968,0.8146011233329773,0.8610897660255432,0.7452969948450724
,0.5285780429840088,0.9483403563499451,0.7711613774299622,0.749359925587972
,0.7056786417961121,0.8602913618087769,0.7001057267189026,0.7553585767745972
,0.598336398601532,0.8668578863143921,0.829444408416748,0.764879564444224
,0.6192477941513062,0.8400591015815735,0.8666369318962097,0.7753146092096964
,0.74941086769104,0.7445093989372253,0.8605254888534546,0.78481525182724
,0.7202475070953369,0.9405218958854675,0.7012607455253601,0.7873433828353882
,0.460933655500412,0.9392069578170776,0.9639744162559509,0.7880383431911469
,0.7823796272277832,0.7608404755592346,0.8297364711761475,0.7909855246543884
,0.8375037312507629,0.808201789855957,0.7300008535385132,0.7919021248817444
,0.772928774356842,0.8348262310028076,0.7884942889213562,0.7987497647603353
,0.7124999761581421,0.7533279061317444,0.9339260458946228,0.799917976061503
,0.9151696562767029,0.519881546497345,0.9688540697097778,0.8013017574946085
,0.6268656849861145,0.8876563906669617,0.8961424231529236,0.8035548329353333
,0.5901639461517334,0.8524240255355835,0.9765119552612305,0.8063666423161825
,0.7108580470085144,0.7771921157836914,0.9330708384513855,0.8070403337478638
,0.7076741456985474,0.8676928877830505,0.874997079372406,0.8167880376180013
,0.7423498034477234,0.8233653903007507,0.8876602649688721,0.8177918195724487
,0.5827538371086121,0.9200583696365356,0.9548073410987854,0.8192065159479777
,0.7925477027893066,0.7976937294006348,0.8813512921333313,0.8238642414410909
,0.9014661312103271,0.7562735676765442,nan,0.8288698494434357
,0.8596041798591614,0.7856284379959106,0.8431828618049622,0.8294718265533447
,0.7755732536315918,0.8474912047386169,0.869945764541626,0.8310034076372782
,0.7979214191436768,0.9319154024124146,0.7701971530914307,0.8333446582158407
,0.8625532984733582,0.7715547680854797,0.9058296084403992,0.8466458916664124
,0.6399999856948853,0.9493155479431152,0.9512983560562134,0.8468712965647379
,0.9747794270515442,0.6188942790031433,0.9537871479988098,0.8491536180178324
,0.8421774506568909,0.8923497796058655,0.8151386976242065,0.8498886426289877
,0.8012509942054749,0.9329016804695129,0.8238357305526733,0.8526628017425537
,0.8505830764770508,0.8815646171569824,0.8321487307548523,0.8547654747962952
,0.7333406209945679,0.9451828002929688,0.8863165974617004,0.8549466729164124
,0.8774703741073608,0.8170033097267151,0.9131450057029724,0.8692062298456827
,0.9430410265922546,0.8442196846008301,0.8210949301719666,0.8694518804550171
,0.8535457849502563,0.9206787943840027,0.8592574000358582,0.8778273264567057
,0.9183244109153748,0.8535975217819214,0.8621363639831543,0.8780194322268168
,0.8575878739356995,0.8852091431617737,0.8918169140815735,0.8782046437263489
,0.7280738949775696,0.9416748285293579,0.9734324812889099,0.8810604015986124
,0.8677943348884583,0.8544360399246216,0.926672101020813,0.882967491944631
,0.8747591376304626,0.8934776782989502,0.8886862993240356,0.8856410384178162
,0.7413793206214905,0.9695313572883606,0.9697051048278809,0.8935385942459106
,0.9823324680328369,0.837812602519989,0.8635883331298828,0.8945778012275696
,0.9770241975784302,0.7994352579116821,0.9332243204116821,0.9032279253005981
