case_id,dsc_NCR/NET,dsc_Edema,dsc_Enhancing Tumor,mean_dsc
,0.008283502422273159,0.48640480637550354,0.4761432111263275,0.3236105066413681
,nan,0.9593734741210938,0.0,0.4796867370605469
,0.2366139441728592,0.46169552206993103,0.7690714597702026,0.4891269753376643
,0.0,0.6535289883613586,0.8422578573226929,0.49859561522801715
,0.7669430375099182,0.29315492510795593,nan,0.5300489813089371
,0.0,0.9225264191627502,0.8085106611251831,0.5770123600959778
,nan,0.8905160427093506,0.30787667632102966,0.5991963595151901
,0.0,0.851304292678833,0.9764260053634644,0.6092434326807658
,0.0,0.9320598244667053,0.9266576170921326,0.6195724805196127
,0.0,0.9371635913848877,0.964038074016571,0.633733888467153
,0.0,0.9795424938201904,0.9321723580360413,0.6372382839520773
,0.08018350601196289,0.9050816297531128,0.9749072194099426,0.6533907850583395
,0.7090737223625183,0.664054274559021,0.5960000157356262,0.6563760042190552
,0.2199999988079071,0.9469740390777588,0.8475537896156311,0.6715092758337656
,0.3297644555568695,0.7812167406082153,0.907579779624939,0.6728536585966746
,0.7482263445854187,0.6324132084846497,nan,0.6903197765350342
,0.5061412453651428,0.7900248765945435,0.7816690802574158,0.6926117340723673
,0.5530352592468262,0.7587127685546875,0.7715350985527039,0.6944277087847391
,0.9269665479660034,0.6724347472190857,0.49682021141052246,0.6987405021985372
,0.8746214509010315,0.5572227835655212,0.6789859533309937,0.7036100625991821
,nan,0.5130830407142639,0.8949435353279114,0.7040132880210876
,0.7414034605026245,0.6690875291824341,nan,0.7052454948425293
,0.7943857312202454,0.5109559297561646,0.8186076879501343,0.707983116308848
,0.3216560482978821,0.9459004402160645,0.8842144012451172,0.7172569632530212
,0.7567893862724304,0.7901517748832703,0.6114583611488342,0.719466507434845
,0.564902126789093,0.8148799538612366,0.8611992597579956,0.7469937801361084
,0.7035973072052002,0.8589264750480652,0.6853725910186768,0.7492987910906473
,0.5299808979034424,0.9484426379203796,0.7712230682373047,0.7498822013537089
,0.5950127840042114,0.868159830570221,0.8290439248085022,0.7640721797943115
,0.6191734671592712,0.8397643566131592,0.8680509328842163,0.775662918885549
,0.7496063113212585,0.7452772855758667,0.8606610298156738,0.7851815422375997
